Inject ID,Deck ID,Card Title,Card Wording,Back Url,Background Url,Art Url
1,1,Is this Open Source? ,Disgruntled employee sold the source code to the highest bidder on the Dark Net.,https://res.cloudinary.com/dwahem6l6/image/upload/v1682721110/misc/PCIO-OBVERSE-CARDS21-60_k8vl38.png,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardFrontBG-04Grey_hiaird.png,https://res.cloudinary.com/servlet/image/upload/v1676534719/hAIwire/hAIwire-CardArt-Inject01_rzq4fc.png
2,2,Oops My Bad! , Your intern plugged in a USB drive with ransomware and now your workstations are frozen until your organization pays up!,https://res.cloudinary.com/dwahem6l6/image/upload/v1682721110/misc/PCIO-OBVERSE-CARDS21-60_k8vl38.png,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardFrontBG-04Grey_hiaird.png,https://res.cloudinary.com/servlet/image/upload/v1676534720/hAIwire/hAIwire-CardArt-Inject02_y3grbz.png
3,3, We're (in)Famous! , The incident has gone viral on social media and shared to over 10M users who see this as a catastrophic failure! ,https://res.cloudinary.com/dwahem6l6/image/upload/v1682721110/misc/PCIO-OBVERSE-CARDS21-60_k8vl38.png,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardFrontBG-04Grey_hiaird.png,https://res.cloudinary.com/servlet/image/upload/v1676534720/hAIwire/hAIwire-CardArt-Inject03_iy3dgy.png
4,4,This is Why We Have Rules ," Because of this incident, there are new laws in effect that prohibit further sales of the software/systems in question until resolved and regulatory review is complete. ",https://res.cloudinary.com/dwahem6l6/image/upload/v1682721110/misc/PCIO-OBVERSE-CARDS21-60_k8vl38.png,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardFrontBG-04Grey_hiaird.png,https://res.cloudinary.com/servlet/image/upload/v1676534720/hAIwire/hAIwire-CardArt-Inject04_zxjl9d.png
5,5,We Were ON a Strike ," The whole Data Science team is going on strike until they get better cold brew in the lab, which will take 2 weeks. ",https://res.cloudinary.com/dwahem6l6/image/upload/v1682721110/misc/PCIO-OBVERSE-CARDS21-60_k8vl38.png,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardFrontBG-04Grey_hiaird.png,https://res.cloudinary.com/servlet/image/upload/v1676534720/hAIwire/hAIwire-CardArt-Inject05_vub1sd.png
6,6,Customer Mutiny, All your customers have staged a boycott of your organization and are costing millions in lost revenue. ,https://res.cloudinary.com/dwahem6l6/image/upload/v1682721110/misc/PCIO-OBVERSE-CARDS21-60_k8vl38.png,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardFrontBG-04Grey_hiaird.png,https://res.cloudinary.com/servlet/image/upload/v1676534721/hAIwire/hAIwire-CardArt-Inject06_z1qb3j.png
7,7,We’re Not Gonna Take It, Nefarious parties are using your AI system to conduct heinous crimes against humanity.  Engineering teams walk out on the job and demand swift response to address this as a condition for their return to work. ,https://res.cloudinary.com/dwahem6l6/image/upload/v1682721110/misc/PCIO-OBVERSE-CARDS21-60_k8vl38.png,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardFrontBG-04Grey_hiaird.png,https://res.cloudinary.com/servlet/image/upload/v1676534720/hAIwire/hAIwire-CardArt-Inject07_xvuxxc.png
8,8,That Wasn’t Supposed to Happen, This incident has resulted in accidental loss of human life. ,https://res.cloudinary.com/dwahem6l6/image/upload/v1682721110/misc/PCIO-OBVERSE-CARDS21-60_k8vl38.png,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardFrontBG-04Grey_hiaird.png,https://res.cloudinary.com/servlet/image/upload/v1676534721/hAIwire/hAIwire-CardArt-Inject08_njwmg9.png
9,9,Not the Kids! , Somehow this incident has managed to result in physical injury to an adorable group of toddlers. ,https://res.cloudinary.com/dwahem6l6/image/upload/v1682721110/misc/PCIO-OBVERSE-CARDS21-60_k8vl38.png,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardFrontBG-04Grey_hiaird.png,https://res.cloudinary.com/servlet/image/upload/v1676534721/hAIwire/hAIwire-CardArt-Inject09_ckcfss.png
10,10,Suit Up! ," Because of this mishap, a multi-million dollar lawsuit against your organization is now underway.  Share prices tumble.  Consumer confidence all time low. Employees quitting.",https://res.cloudinary.com/dwahem6l6/image/upload/v1682721110/misc/PCIO-OBVERSE-CARDS21-60_k8vl38.png,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardFrontBG-04Grey_hiaird.png,https://res.cloudinary.com/servlet/image/upload/v1676534721/hAIwire/hAIwire-CardArt-Inject10_sd6ykm.png
11,11, Sandy Breaches, It is determined that hackers used “island hopping” techniques to steal proprietary organizational data and private customer data related to the AI system in question. Island hopping is when cyber attackers target weakly protected partner networks to infiltrate a target business.,https://res.cloudinary.com/dwahem6l6/image/upload/v1682721110/misc/PCIO-OBVERSE-CARDS21-60_k8vl38.png,https://res.cloudinary.com/servlet/image/upload/v1674588716/hAIwire/hAIwire-InjectCardFrontBG-04Grey_hiaird.png,https://res.cloudinary.com/servlet/image/upload/v1676534709/hAIwire/hAIwire-CardArt-Inject11_wabdjr.png
